词条	声调	词性	读音	中文释义	备注	例句	例句翻译	lesson	bucket
出す	①	他動1	だす	拿出，取出；上交，提出；邮寄		彼はかばんから教科書を出した	他从书包里拿出课本	14	动词·一类
回る	⓪	自動1	まわる	旋转		扇風機が回る	电风扇转动	14	动词·一类
曲がる	⓪	自動1	まがる	弯曲；拐弯		腰が曲がる	腰弯了	14	动词·一类
渡る	⓪	自動1	わたる	渡过，通过		橋を渡る	过桥	14	动词·一类
見つかる	⓪	自動1	みつかる	被找到；被发现		メガネが見つかりません	找不到眼镜	14	动词·一类
頂く	⓪	他動1・補動	いただく	吃，喝；得到	「食べる」 「飲む」「もらう」の謙譲語	少々お時間を頂けませんか	能否稍微占用您一点时间？	14	动词·一类
飾る	⓪	他動1	かざる	装饰，装点		部屋に花を飾る	在房间里装饰花朵	14	动词·一类
寝坊	⓪	名・ナ形・自動3	ねぼう	睡懒觉（的人）		今朝は寝坊しました	今天早上睡过头了	14	动词·三类
研究	⓪	名・他動3	けんきゅう	研究		彼は何年も地震の研究をしている	他研究地震已有多年	14	动词·三类
紹介	⓪	名・他動3	しょうかい	介绍		順番に自己紹介してください	请按顺序自我介绍一下	14	动词·三类
見学	⓪	名・他動3	けんがく	参观，参观学习		今日、工場の見学に行きました	今天去参观工厂了	14	动词·三类
やめる	⓪	他動2	やめる	停止，放弃，取消；戒掉	止める	計画をやめる	取消计划	14	动词·二类
並べる	⓪	他動2	ならべる	排列		肩を並べて歩く	并肩走	14	动词·二类
似る	⓪	自動2	にる	相似，像		あのふたごはよく似ている	那对双胞胎长得真像	14	动词·二类
捨てる	⓪	他動2	すてる	扔掉；抛弃		ごみを捨てる	扔垃圾	14	动词·二类
ラジオ	①	名	radio	收音机；广播		ラジオをつける	打开收音机	14	名词·IT通信
両親	①	名	りょうしん	双亲，父母		私の両親は大阪に住んでいます	我的父母住在大阪	14	名词·人物职业
運転手	③	名	うんてんしゅ	司机		彼はタクシーの運転手です	他是出租车司机	14	名词·人物职业
ベッド	①	名	bed	床		ベッドで寝る	在床上睡觉	14	名词·住宅设备
建物	②③	名	たてもの	建筑物，房屋		これは日本一古い建物です	这是日本最古老的建筑物	14	名词·住宅设备
図書館	②	名	としょかん	图书馆		図書館で料理の本を借りた	在图书馆借了烹饪的书	14	名词·场所
町	②	名	まち	城镇；町		この町に住んでもう10年になる	我在这个城市已经住了十年了	14	名词·场所
学	⓪①	名・造	がく	……学科		言語学	语言学	14	名词·学习教育
使い方	⓪	名	つかいかた	用法		正しい使い方	正确的用法	14	名词·抽象概念
音	②	名	おと	（非生命物体发出的）声音		音を立てる	发出声音	14	名词·抽象概念
何回	①③⓪	名	なんかい	几次，多少次		何回やってもできない	不管试多少次都做不到	14	名词·数量
方向	⓪	名	ほうこう	方向；方针		北の方向を指す	指向北方	14	名词·方位位置
左手	⓪	名	ひだりて	左手		左手を挙げる	举起左手	14	名词·身体健康
指	②	名	ゆび	手指，脚趾		指の先	指尖	14	名词·身体健康
バナナ	①	名	banana	香蕉		バナナの皮をむく	剥香蕉皮	14	名词·饮食
ページ	⓪	名	page	页，页面		教科書の36ページを開いてください	请打开课本第三十六页	14	名词·饮食
向こう	②⓪	名	むこう	正面；对面；对方；（远处看不到的）那边		友達は向こうにいます	朋友在对面	14	名词·饮食
喫茶店	⓪③	名	きっさてん	咖啡厅，茶馆		喫茶店でコーヒーを飲んだ	在咖啡厅喝了咖啡	14	名词·饮食
紅茶	⓪	名	こうちゃ	红茶		紅茶をいれる	泡红茶	14	名词·饮食
飲み物	②	名	のみもの	饮料		何か飲み物が欲しいなあ	好想喝点什么	14	名词·饮食
それとも	③	接	それとも	或者，还是		お茶にしますか、それともコーヒーにしますか	你要喝茶还是咖啡？	14	基础·接续助词
次に	②	接	つぎに	接着，其次		次に大事なことは…	其次重要的是……	14	基础·接续助词
〜屋		接尾	〜や	从事某种买卖的店或人；具有某种性格的人		魚屋	鱼店	14	基础·量词单位
狭い	②	イ形	せまい	窄的，狭小的；狭隘的		狭い部屋	狭小的屋子	14	形容词·い形
若い	②	イ形	わかい	年轻的；年幼的；幼稚的		若い人が好む味	年轻人喜欢的味道	14	形容词·い形
重い	⓪	イ形	おもい	重的；沉重的；严重的		このかばんは重いです	这个包包很重	14	形容词·い形
高い	②	イ形	たかい	高的；贵的		高い山	高山	14	形容词·い形
あんな	⓪	連体・ナ形	あんな	那样；那种		彼があんな人だとは思わなかった	没想到他是那样的人	14	形容词·な形
危険	⓪	名・ナ形	きけん	危险		危険な実験	危险的实验	14	形容词·な形
安全	⓪	名・ナ形	あんぜん	安全		安全が第一です	安全第一	14	形容词·な形
こう	⓪①	副	こう	这样，这么		こう小さい字は読めない	这么小的字我读不了	15	副词
少し	②	副	すこし	很少，一点点		少し疲れました	有点累了	15	副词
毎年	⓪	副・名	まいとし	每年		毎年冬になると風邪を引く	每年一到冬天就感冒	15	副词
やる	⓪	他動1・補動	やる	做；（上级给下级，人给动物等）给	遣る	一緒に宿題をやろう	一起写作业吧	15	动词·一类
喜ぶ	③	他動1	よろこぶ	欢喜，高兴；（「喜んで」の形で）欣然接受		友だちの結婚を喜ぶ	为朋友的结婚感到高兴	15	动词·一类
撮る	①	他動1	とる	照相，摄像		写真を撮る	照相	15	动词·一类
歩く	②	自動1	あるく	步行		ここから駅まで歩く	从这里走到车站	15	动词·一类
行う	⓪	他動1	おこなう	举行，进行		毎年、秋に運動会を行います	每年秋天都会举办运动会	15	动词·一类
閉まる	②	自動1	しまる	关闭		店が閉まる	店打烊了	15	动词·一类
驚く	③	自動1	おどろく	吃惊，惊讶		大声に驚く	因大声而吓一跳	15	动词·一类
入院	⓪	名・自動3	にゅういん	住院		入院して検査を受ける	住院接受检查	15	动词·三类
成功	⓪	名・自動3	せいこう	成功		ついに実験が成功した	实验终于成功了	15	动词·三类
計画	⓪	名・他動3	けいかく	计划，规划		計画を立てる	制订计划	15	动词·三类
返事	③	名・自動3	へんじ	答应，回答，回信		いくら呼んでも返事がない	不管怎么叫都没有回应	15	动词·三类
遠慮	⓪①	名・自他動3	えんりょ	客气；谢绝		ご遠慮なく	请不要客气	15	动词·三类
倒れる	③	自動2	たおれる	绊倒，倒下		地震で家が倒れた	因为地震，房子倒塌了	15	动词·二类
助ける	③	他動2	たすける	帮助，帮忙，救济；救助，救命		彼が荷物を運ぶのを助ける	帮他搬行李	15	动词·二类
濡[ぬ]れる	⓪	自動2	ぬれる	淋湿，弄湿	濡れる	雨に濡れる	被雨淋湿	15	动词·二类
見える	②	自動2	みえる	看得见；看起来是		ここから富士山が見える	这里看得到富士山	15	动词·二类
